Abel::font-family: 'Abel', sans-serif;
Six+Caps::font-family: 'Six Caps', sans-serif;
Slackey::font-family: 'Slackey', cursive;
Smokum::font-family: 'Smokum', cursive;
Smythe::font-family: 'Smythe', cursive;
Sniglet::font-family: 'Sniglet', cursive;
Snippet::font-family: 'Snippet', sans-serif;
Sorts+Mill+Goudy::font-family: 'Sorts Mill Goudy', serif;
Special+Elite::font-family: 'Special Elite', cursive;
Spinnaker::font-family: 'Spinnaker', sans-serif;
Spirax::font-family: 'Spirax', cursive;
Stardos+Stencil::font-family: 'Stardos Stencil', cursive;
Sue+Ellen+Francisco::font-family: 'Sue Ellen Francisco', cursive;
Sunshiney::font-family: 'Sunshiney', cursive;
Supermercado+One::font-family: 'Supermercado One', cursive;
Swanky+and+Moo+Moo::font-family: 'Swanky and Moo Moo', cursive;
Syncopate::font-family: 'Syncopate', sans-serif;
Tangerine::font-family: 'Tangerine', cursive;
Tenor+Sans::font-family: 'Tenor Sans', sans-serif;
Terminal+Dosis::font-family: 'Terminal Dosis', sans-serif;
The+Girl+Next+Door::font-family: 'The Girl Next Door', cursive;
Tienne::font-family: 'Tienne', serif;
Tinos::font-family: 'Tinos', serif;
Tulpen+One::font-family: 'Tulpen One', cursive;
Ubuntu+Condensed::font-family: 'Ubuntu Condensed', sans-serif;
Ubuntu+Mono::font-family: 'Ubuntu Mono', sans-serif;
Ubuntu::font-family: 'Ubuntu', sans-serif;
Ultra::font-family: 'Ultra', serif;
UnifrakturCook::font-family: 'UnifrakturCook', cursive;
UnifrakturMaguntia::font-family: 'UnifrakturMaguntia', cursive;
Unkempt::font-family: 'Unkempt', cursive;
Unlock::font-family: 'Unlock', cursive;
Unna::font-family: 'Unna', serif;
VT323::font-family: 'VT323', cursive;
Varela+Round::font-family: 'Varela Round', sans-serif;
Varela::font-family: 'Varela', sans-serif;
Vast+Shadow::font-family: 'Vast Shadow', cursive;
Vibur::font-family: 'Vibur', cursive;
Vidaloka::font-family: 'Vidaloka', serif;
Volkhov::font-family: 'Volkhov', serif;
Vollkorn::font-family: 'Vollkorn', serif;
Voltaire::font-family: 'Voltaire', sans-serif;
Waiting+for+the+Sunrise::font-family: 'Waiting for the Sunrise', cursive;
Wallpoet::font-family: 'Wallpoet', cursive;
Walter+Turncoat::font-family: 'Walter Turncoat', cursive;
Wire+One::font-family: 'Wire One', sans-serif;
Yanone+Kaffeesatz::font-family: 'Yanone Kaffeesatz', sans-serif;
Yellowtail::font-family: 'Yellowtail', cursive;
Yeseva+One::font-family: 'Yeseva One', serif;
Zeyada::font-family: 'Zeyada', cursive;
